GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_upstream_gene_variant
FGFR1	ENSG00000077782	ENST00000530568	protein_coding	1	0	1	0	0
FGFR1	ENSG00000077782	ENST00000530701	processed_transcript	1	0	1	0	0
FGFR1	ENSG00000077782	ENST00000531196	nonsense_mediated_decay	1	0	1	0	0
FGFR1	ENSG00000077782	ENST00000532386	retained_intron	1	0	0	0	1
FGFR1	ENSG00000077782	ENST00000532791	protein_coding	2	0	2	0	0
FGFR1	ENSG00000077782	ENST00000533619	retained_intron	1	0	1	0	0
FGFR1	ENSG00000077782	ENST00000533668	protein_coding	1	0	1	0	0
FGFR1	ENSG00000077782	ENST00000619564	protein_coding	2	0	2	0	0
FGFR1	ENSG00000077782	ENST00000649678	nonsense_mediated_decay	2	0	2	0	0
MIEN1	ENSG00000141741	ENST00000394231	protein_coding	2	2	0	0	0
MIEN1	ENSG00000141741	ENST00000469568	retained_intron	2	2	0	0	0
MIEN1	ENSG00000141741	ENST00000474210	processed_transcript	2	2	0	0	0
MIEN1	ENSG00000141741	ENST00000498164	retained_intron	2	2	0	0	0
MIEN1	ENSG00000141741	ENST00000577810	protein_coding	2	2	0	0	0
MIEN1	ENSG00000141741	ENST00000582963	retained_intron	2	2	0	0	0
MIR4728	ENSG00000265178	ENST00000580969	miRNA	2	0	0	0	2
PDGFRA	ENSG00000134853	ENST00000257290	protein_coding	1	0	1	0	0
PDGFRA	ENSG00000134853	ENST00000507536	retained_intron	1	1	0	0	0
PDGFRA	ENSG00000134853	ENST00000509490	nonsense_mediated_decay	1	1	0	0	0
ROS1	ENSG00000047936	ENST00000368507	protein_coding	1	0	1	0	0
ROS1	ENSG00000047936	ENST00000368508	protein_coding	1	0	1	0	0
RPS20P22	ENSG00000239218	ENST00000473700	transcribed_processed_pseudogene	1	1	0	0	0
RPS20P22	ENSG00000239218	ENST00000488192	processed_transcript	1	1	0	0	0
